Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
46	:	1759167211.587	   105.952	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal45 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal45.out 2> timings_z1.0/gal45.time
52	:	1759167211.600	   106.294	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal51 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal51.out 2> timings_z1.0/gal51.time
67	:	1759167215.167	   103.621	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal66 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal66.out 2> timings_z1.0/gal66.time
63	:	1759167211.625	   107.322	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal62 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal62.out 2> timings_z1.0/gal62.time
65	:	1759167215.135	   103.858	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal64 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal64.out 2> timings_z1.0/gal64.time
38	:	1759167211.571	   110.024	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal37 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal37.out 2> timings_z1.0/gal37.time
96	:	1759167302.021	    20.116	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal95 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal95.out 2> timings_z1.0/gal95.time
62	:	1759167211.623	   115.032	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal61 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal61.out 2> timings_z1.0/gal61.time
80	:	1759167215.231	   111.890	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal79 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal79.out 2> timings_z1.0/gal79.time
41	:	1759167211.577	   116.101	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal40 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal40.out 2> timings_z1.0/gal40.time
108	:	1759167318.997	     8.789	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal107 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal107.out 2> timings_z1.0/gal107.time
37	:	1759167211.569	   118.619	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal36 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal36.out 2> timings_z1.0/gal36.time
7	:	1759167211.513	   119.795	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal6 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal6.out 2> timings_z1.0/gal6.time
45	:	1759167211.585	   119.976	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal44 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal44.out 2> timings_z1.0/gal44.time
13	:	1759167211.524	   123.140	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal12 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal12.out 2> timings_z1.0/gal12.time
87	:	1759167283.358	    52.474	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal86 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal86.out 2> timings_z1.0/gal86.time
73	:	1759167215.211	   122.684	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal72 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal72.out 2> timings_z1.0/gal72.time
97	:	1759167303.879	    34.646	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal96 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal96.out 2> timings_z1.0/gal96.time
66	:	1759167215.141	   123.578	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal65 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal65.out 2> timings_z1.0/gal65.time
18	:	1759167211.533	   128.792	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal17 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal17.out 2> timings_z1.0/gal17.time
123	:	1759167340.337	     0.367	0	0	1	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal122 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal122.out 2> timings_z1.0/gal122.time
88	:	1759167293.041	    48.674	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal87 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal87.out 2> timings_z1.0/gal87.time
30	:	1759167211.555	   131.077	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal29 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal29.out 2> timings_z1.0/gal29.time
47	:	1759167211.589	   133.559	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal46 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal46.out 2> timings_z1.0/gal46.time
32	:	1759167211.559	   136.937	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal31 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal31.out 2> timings_z1.0/gal31.time
28	:	1759167211.552	   139.789	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal27 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal27.out 2> timings_z1.0/gal27.time
14	:	1759167211.526	   139.878	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal13 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal13.out 2> timings_z1.0/gal13.time
94	:	1759167298.896	    53.745	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal93 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal93.out 2> timings_z1.0/gal93.time
39	:	1759167211.573	   142.715	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal38 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal38.out 2> timings_z1.0/gal38.time
48	:	1759167211.591	   143.927	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal47 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal47.out 2> timings_z1.0/gal47.time
81	:	1759167247.898	   108.601	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal80 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal80.out 2> timings_z1.0/gal80.time
103	:	1759167316.815	    42.437	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal102 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal102.out 2> timings_z1.0/gal102.time
