name,galaxy_type,redshift,sfr,sfr_5Myr,sfr_10Myr,sfr_100Myr,gas_mass,star_mass,gas_average_metallicity,star_average_metallicity,gas_metallicity_inner_galaxy,star_metallicity_inner_galaxy,h2_mass_semi_analytical,h2_mass_cloudy,co_mass_cloudy,halo_mass,L_fir,L_skirt_full_wavelength_range,number_of_NaN_indices,gas_metallicity_hden_higher_than_1eminus2,gas_metallicity_hden_higher_than_1,L_co_10_semi_analytical,Pgas_10kpc,Pstar_10kpc,Ptotal_10kpc,Pgas_20kpc,Pstar_20kpc,Ptotal_20kpc,Pgas_half_light_visible_z500pc,Pstar_half_light_visible_z500pc,Ptotal_half_light_visible_z500pc,R_half_light_visible,R_half_light_stellar_mass,metallicity_gas_half_light_visible_z500pc,metalicity_star_half_light_visible_z500pc,hden_mass_average_half_light_visible_z500pc,fire_temperature_mass_average_half_light_visible_z500pc,co_weighted_temperature_mass_average_half_light_visible_z500pc,h2_weighted_temperature_mass_average_half_light_visible_z500pc,column_density_half_light_visible_z500pc,L_ly_alpha,L_h_alpha,L_h_beta,L_co_10,L_co_21,L_co_32,L_co_43,L_co_54,L_co_65,L_co_76,L_co_87,L_13co,L_c2,L_o3_88,L_o3_5006,L_o3_4958,L_ly_alpha_half_light_visible_z500pc,L_h_alpha_half_light_visible_z500pc,L_h_beta_half_light_visible_z500pc,L_co_10_half_light_visible_z500pc,L_co_21_half_light_visible_z500pc,L_co_32_half_light_visible_z500pc,L_co_43_half_light_visible_z500pc,L_co_54_half_light_visible_z500pc,L_co_65_half_light_visible_z500pc,L_co_76_half_light_visible_z500pc,L_co_87_half_light_visible_z500pc,L_13co_half_light_visible_z500pc,L_c2_half_light_visible_z500pc,L_o3_88_half_light_visible_z500pc,L_o3_5006_half_light_visible_z500pc,L_o3_4958_half_light_visible_z500pc
gal377,firebox,0.0,4.16296e-01,3.17698e-01,3.31454e-01,3.40730e-01,4.93606e+09,2.31230e+09,5.92527e-01,3.36536e-01,6.18481e-01,3.59493e-01,1.29946e+08,8.12508e+07,2.14518e+02,5.33115e+10,1.08772e+43,2.94879e+43,0,6.01456e-01,6.20387e-01,2.27048e+07,2.19219e+03,1.86317e+03,4.05536e+03,3.01036e+02,3.90683e+02,6.91719e+02,6.50665e+02,7.30625e+02,1.38129e+03,6.50000e+03,7.10000e+03,6.13905e-01,4.05601e-01,6.00638e+00,7.03291e+03,2.29834e+03,2.31384e+03,4.41493e+00,3.08794e+41,5.21396e+40,1.83704e+40,7.12617e+05,9.87181e+05,5.19331e+05,1.44528e+05,2.57611e+04,2.68071e+03,1.39216e+02,4.92997e+00,3.36847e+04,3.92946e+40,5.39322e+39,8.81327e+39,2.95387e+39,4.70641e+40,8.61863e+39,3.01631e+39,3.80338e+05,5.12023e+05,2.77302e+05,8.31056e+04,1.65934e+04,1.85008e+03,9.81232e+01,3.22499e+00,2.09537e+04,6.78611e+39,8.24338e+38,6.65463e+38,2.23038e+38
gal370,firebox,0.0,1.01152e+00,2.77166e-01,2.49281e-01,4.17005e-01,7.09779e+09,1.17465e+09,2.17723e-01,1.93348e-01,2.58196e-01,2.03266e-01,3.92996e+07,3.48396e+07,2.92820e+01,5.42123e+10,7.10535e+42,2.84150e+43,0,2.23311e-01,2.40585e-01,3.43747e+06,6.82259e+02,5.22651e+02,1.20491e+03,1.84234e+02,1.57137e+02,3.41371e+02,1.35298e+02,1.30758e+02,2.66056e+02,6.90000e+03,6.90000e+03,2.68324e-01,1.97584e-01,3.46802e+00,1.12994e+04,7.42357e+03,7.40844e+03,2.01322e+00,7.26453e+41,9.95092e+40,3.56034e+40,7.56248e+04,1.03424e+05,5.63128e+04,1.66774e+04,3.09776e+03,3.68138e+02,2.57750e+01,1.27785e+00,3.29480e+03,2.54634e+40,5.91857e+39,2.51912e+40,8.44313e+39,4.43447e+40,6.73113e+39,2.39401e+39,1.78134e+04,2.15312e+04,1.32843e+04,5.13767e+03,1.32061e+03,2.08727e+02,1.67957e+01,7.59009e-01,1.30838e+03,2.08671e+39,3.77699e+38,7.81932e+38,2.62077e+38
gal374,firebox,0.0,3.45279e-01,1.89797e-01,1.71216e-01,2.95295e-01,4.90218e+09,2.92982e+09,6.93086e-01,4.13820e-01,7.33871e-01,4.37495e-01,1.19466e+08,7.84945e+07,2.53106e+02,5.35375e+10,7.61022e+42,2.46510e+43,0,7.03293e-01,7.34950e-01,2.15656e+07,2.10810e+03,2.44053e+03,4.54863e+03,2.36086e+02,4.25083e+02,6.61169e+02,6.31575e+02,1.16679e+03,1.79837e+03,4.90000e+03,5.10000e+03,7.61071e-01,5.02206e-01,5.62742e+00,7.14663e+03,1.64780e+03,1.65072e+03,4.34969e+00,2.36865e+41,3.81472e+40,1.34086e+40,9.09978e+05,1.28403e+06,6.61427e+05,1.73046e+05,2.71276e+04,2.79429e+03,1.82701e+02,8.14336e+00,3.71091e+04,3.97318e+40,3.45255e+39,5.39102e+39,1.80685e+39,2.52285e+40,4.97116e+39,1.73482e+39,3.04554e+05,4.25115e+05,2.22584e+05,5.99111e+04,9.48810e+03,8.99348e+02,4.76383e+01,1.54090e+00,1.32633e+04,4.59091e+39,5.25530e+38,2.76182e+38,9.25663e+37
gal378,firebox,0.0,0.00000e+00,0.00000e+00,1.73092e-02,5.24194e-02,2.17563e+09,3.11121e+08,1.80996e-01,1.14255e-01,1.85595e-01,1.18672e-01,1.11394e+06,9.10396e+05,7.93304e-01,5.30732e+10,2.68184e+41,4.10729e+42,0,1.86146e-01,1.85875e-01,9.88748e+04,6.53307e+01,1.08760e+02,1.74091e+02,8.07175e+00,2.07552e+01,2.88269e+01,2.11965e+01,4.58617e+01,6.70582e+01,5.50000e+03,6.10000e+03,1.84779e-01,1.23510e-01,1.88963e+00,8.65651e+03,8.72047e+03,8.61831e+03,7.96851e-01,9.95565e+40,1.10743e+40,3.95894e+39,3.38365e+03,4.78496e+03,2.52842e+03,6.68893e+02,9.97232e+01,8.99547e+00,5.94199e-01,4.51709e-02,1.16998e+02,3.45981e+39,5.64253e+38,4.03170e+39,1.35123e+39,4.27489e+39,4.83573e+38,1.72591e+38,3.24053e+03,4.57447e+03,2.42422e+03,6.44363e+02,9.66036e+01,8.75348e+00,5.77022e-01,4.25552e-02,1.12375e+02,2.05001e+38,9.77141e+36,5.11782e+37,1.71531e+37
gal380,firebox,0.0,1.81181e-01,3.16966e-01,2.97879e-01,2.94232e-01,1.63201e+09,2.63977e+09,1.25137e+00,6.49894e-01,1.29931e+00,6.76604e-01,3.89996e+08,2.53550e+08,1.70301e+03,5.27188e+10,1.12689e+43,2.07575e+43,0,1.31096e+00,1.32032e+00,1.35428e+08,5.71132e+02,1.94764e+03,2.51877e+03,3.70246e+01,2.49586e+02,2.86611e+02,7.60871e+03,1.41655e+04,2.17742e+04,2.30000e+03,2.90000e+03,1.32251e+00,9.16251e-01,1.46084e+01,6.58768e+03,3.34269e+02,3.25862e+02,1.50974e+01,5.62741e+40,1.23855e+40,4.28392e+39,5.91151e+06,7.96951e+06,4.12403e+06,1.10579e+06,1.68605e+05,1.44524e+04,6.22268e+02,1.67670e+01,2.48671e+05,1.99584e+40,1.77775e+39,1.03598e+39,3.47229e+38,1.09841e+40,2.88511e+39,9.98780e+38,2.32658e+06,3.03079e+06,1.60794e+06,4.57613e+05,7.56564e+04,6.99591e+03,2.97069e+02,7.03966e+00,1.12521e+05,3.35422e+39,5.97926e+38,3.40642e+37,1.14167e+37
gal381,firebox,0.0,1.55011e+00,1.09662e+00,7.34438e-01,7.77370e-01,3.14641e+09,8.17298e+09,1.66208e+00,8.21620e-01,1.91317e+00,9.38553e-01,1.10589e+09,7.65010e+08,2.80687e+04,5.27022e+10,2.49496e+43,4.53700e+43,0,1.92208e+00,1.95453e+00,6.21044e+08,1.11747e+03,2.50390e+03,3.62137e+03,7.95079e+01,3.44495e+02,4.24003e+02,5.95323e+03,6.52504e+03,1.24783e+04,3.90000e+03,3.90000e+03,1.96695e+00,1.12383e+00,2.35848e+01,9.58707e+03,2.52816e+02,2.29251e+02,1.33543e+01,6.25192e+40,1.51929e+40,5.20942e+39,5.29133e+07,6.08521e+07,3.43633e+07,1.18007e+07,2.36258e+06,2.39379e+05,1.14663e+04,2.77262e+02,3.50111e+06,3.05087e+40,3.80317e+39,1.69760e+39,5.68958e+38,1.07073e+40,3.23722e+39,1.10798e+39,3.14518e+07,3.47910e+07,2.01407e+07,7.29707e+06,1.53338e+06,1.60368e+05,7.66621e+03,1.78672e+02,2.28246e+06,5.35687e+39,7.94366e+38,8.53081e+36,2.85925e+36
gal382,firebox,0.0,0.00000e+00,1.47512e-02,7.37559e-03,1.16355e-01,2.69655e+09,1.82025e+09,6.18567e-01,3.46837e-01,6.32524e-01,3.76887e-01,1.53499e+07,1.33957e+07,3.49875e+01,5.25089e+10,1.78897e+42,1.33074e+43,0,6.33515e-01,6.39573e-01,2.63011e+06,3.03624e+02,5.64093e+02,8.67717e+02,2.47424e+01,8.61851e+01,1.10927e+02,8.83128e+01,2.23910e+02,3.12223e+02,5.50000e+03,6.10000e+03,6.29086e-01,4.16212e-01,1.79903e+00,6.63788e+03,5.42223e+03,5.50809e+03,1.62651e+00,1.14643e+41,1.71425e+40,6.07315e+39,1.54011e+05,2.25010e+05,1.12897e+05,2.69125e+04,3.35021e+03,2.38277e+02,1.13184e+01,6.34484e-01,4.76632e+03,1.51391e+40,1.72226e+39,3.39754e+39,1.13874e+39,7.40313e+39,1.17527e+39,4.14157e+38,6.71874e+04,9.93541e+04,4.94475e+04,1.15198e+04,1.37684e+03,9.26928e+01,4.20769e+00,2.40530e-01,1.96663e+03,1.12673e+39,7.97059e+37,9.44625e+37,3.16618e+37
gal379,firebox,0.0,3.65486e+00,2.16266e+00,1.44798e+00,7.49415e-01,4.17858e+08,1.65562e+10,4.43982e+00,2.40563e+00,4.43982e+00,2.40563e+00,3.72072e+08,2.98362e+08,4.78424e+05,5.30490e+10,4.79938e+43,6.82201e+43,0,4.43982e+00,4.44874e+00,7.46231e+08,5.90562e+01,2.85872e+03,2.91778e+03,3.69101e+00,3.57340e+02,3.61031e+02,1.60976e+05,1.02333e+06,1.18430e+06,9.00000e+02,1.10000e+03,4.55734e+00,2.50494e+00,5.30999e+01,2.14221e+04,3.04929e+01,2.98324e+01,6.94426e+01,3.84781e+39,1.57606e+39,5.26477e+38,2.78253e+08,2.46076e+08,1.58303e+08,7.94376e+07,2.48782e+07,3.22168e+06,1.53199e+05,3.43712e+03,4.28720e+07,2.87007e+39,5.41050e+38,2.58699e+36,8.67075e+35,1.42021e+39,5.81907e+38,1.94481e+38,1.41852e+08,1.24883e+08,8.06103e+07,4.07255e+07,1.28647e+07,1.67173e+06,7.86968e+04,1.76054e+03,2.23482e+07,1.10280e+39,1.74774e+38,4.12811e+35,1.38342e+35
gal385,firebox,0.0,1.03609e-01,3.41692e-01,1.95444e-01,4.80950e-02,2.39951e+09,8.25278e+08,3.31346e-01,2.17323e-01,3.50502e-01,2.38789e-01,1.31539e+07,7.77716e+06,1.06642e+01,5.22691e+10,6.90796e+42,1.41505e+43,0,3.44241e-01,3.62657e-01,1.96664e+06,2.45016e+02,4.04568e+02,6.49584e+02,2.05714e+01,6.29310e+01,8.35023e+01,2.87533e+02,4.61234e+02,7.48767e+02,4.10000e+03,5.90000e+03,3.57244e-01,2.79250e-01,1.04803e+01,9.49659e+03,5.19062e+03,5.19329e+03,2.93488e+00,1.34136e+41,1.95982e+40,6.97130e+39,4.97410e+04,6.56584e+04,3.67106e+04,1.14337e+04,2.19000e+03,2.69075e+02,2.00212e+01,1.04748e+00,2.27979e+03,8.48190e+39,2.24357e+39,8.91659e+39,2.98845e+39,3.33578e+40,7.00193e+39,2.47051e+39,4.29680e+04,5.56805e+04,3.17816e+04,1.02840e+04,2.04836e+03,2.58985e+02,1.94881e+01,1.00302e+00,2.07335e+03,1.82741e+39,7.55139e+38,1.19707e+39,4.01227e+38
gal384,firebox,0.0,1.86125e-01,1.76262e-01,1.91982e-01,2.03347e-01,3.30508e+09,1.93279e+09,6.49749e-01,3.64491e-01,6.64893e-01,3.87001e-01,1.07541e+08,5.98418e+07,2.99225e+02,5.23699e+10,5.86556e+42,1.85787e+43,0,6.63271e-01,6.67683e-01,1.66698e+07,9.31472e+02,7.82907e+02,1.71438e+03,1.10892e+02,1.63082e+02,2.73974e+02,1.76154e+02,1.83724e+02,3.59879e+02,8.30000e+03,8.70000e+03,6.65645e-01,4.25557e-01,3.75666e+00,6.98774e+03,2.94374e+03,2.96421e+03,2.29716e+00,2.05232e+41,3.48040e+40,1.22362e+40,6.50575e+05,9.39019e+05,4.77251e+05,1.22119e+05,2.02123e+04,2.84682e+03,3.85147e+02,4.01268e+01,2.73285e+04,3.00563e+40,3.59183e+39,6.21208e+39,2.08204e+39,3.20730e+40,5.45776e+39,1.90512e+39,3.37850e+05,4.81704e+05,2.48581e+05,6.75717e+04,1.32831e+04,2.32716e+03,3.58232e+02,3.86774e+01,1.74262e+04,5.76139e+39,3.26931e+38,2.89077e+38,9.68899e+37
gal383,firebox,0.0,2.57591e-01,1.84812e-02,7.49371e-02,1.37340e-01,2.83195e+09,6.36060e+09,1.11620e+00,5.64261e-01,1.23436e+00,6.38332e-01,2.09297e+08,1.52224e+08,9.56324e+02,5.24901e+10,5.23420e+42,2.63134e+43,0,1.20926e+00,1.25880e+00,6.20700e+07,2.93394e+02,1.10109e+03,1.39448e+03,2.58886e+01,1.69576e+02,1.95464e+02,1.01589e+03,2.10839e+03,3.12429e+03,4.10000e+03,4.30000e+03,1.26046e+00,7.33778e-01,9.74848e+00,1.30177e+04,9.77664e+02,9.28700e+02,5.51657e+00,6.27540e+40,1.00627e+40,3.50016e+39,2.84054e+06,3.91268e+06,2.00588e+06,5.23987e+05,7.78941e+04,6.79167e+03,3.47070e+02,1.16488e+01,1.14426e+05,2.40459e+40,8.29249e+38,9.68138e+38,3.24479e+38,9.67044e+39,1.92633e+39,6.65006e+38,1.47766e+06,1.95783e+06,1.03510e+06,2.92145e+05,4.83549e+04,4.71592e+03,2.59676e+02,7.51310e+00,7.12545e+04,3.56219e+39,1.51057e+38,2.50503e+37,8.39602e+36
